name	category1	category2	product1	product2	product3	product4	product5	product6	product7	main_img	price	sale_ratio
뷰티 용품 보관하기	공간확보의 달인		화장품 정리대 보관 수납함	손톱깎이 세트	귀걸이 보관함					뷰티 용품 보관하기	21800 	7 
아무거나 / 잡동사니 보관하기	공간확보의 달인	인테리어	접이식 다용도 폴딩 리빙박스	마이룸 자석형 우산꽂이						아무거나 잡동사니 보관하기	45800 	7 
방도 청소하고 벌레도 치워버려	가전제품	청소	"충전식 전기 모기, 파리채(KC 인증)"	신일 싸이클론 스틱 청소기						방도 청소하고 벌레도 치워버려	63000 	7 
찰랑이는 머릿결	가전제품		파테크 고데기	파테크 헤어드라이기						찰랑이는 머릿결	38000 	7 
멀티 탭과 선 정리	가전제품	인테리어	"멀티 탭 세트(3구 1개, 4구 1개, 5구 1개 2.5M)"	슬림 양면 밸크로타이 밸크로 전선정리 검정 10m						멀티 탭과 선 정리	18800 	10 
깔끔한 화장실	우리 집 관리	청소	규조토 발 매트(M 사이즈)	방수 목욕바구니	미끄럼방지 화장실 슬리퍼	"화장실 청소 3종 세트(뚫어뻥, 변기솔, 바닥솔)"	"화장실 휴지통(스테인리스, 6.5L)"	"다용도 걸이(칫솔, 치약, 면도기)"		깔끔한 화장실	70000 	7 
방구석 Chef	우리 집 관리	요리	실리콘 냄비받침	코렐코디네이츠 핸드크래프트 젠 1인 세라믹수저세트	1인 식기 세트	"1인 조리용 냄비세트(16cm 후라이펜, 16cm 스테인 냄비 1개)"	핸디 손잡이 2P (실리콘 냄비 핸디)	"부엌 칼 주방세트 (과도, 칼, 식칼, 껍질깍이 등)"	음식물 쓰레기통	방구석 Chef	87830 	5 
포근한 수면이 필요해	우리 집 관리	수면	"이불패드세트 여름 1set (이불, 침대패드 SS사이즈)"	"이불패드세트 겨울 1set (이불, 침대패드 SS사이즈)"	"베개세트 2개(베개 2개, 커버 2개 40cm x 60cm)"					포근한 수면이 필요해	144930 	5 
우리 집에 필요해	우리 집 관리	인테리어	스탠딩 전신거울	푹신한 실내화	DIY 사다리 선반	다미 대형접이식테이블				우리 집에 필요해	70700 	7 
취미는 청소입니다	우리 집 관리	청소	접이식 3단 분리수거함(봉투는 따로 사셔야 해요)	"빗자루, 쓰레받기 세트 "	걸레 필요 없는 미리 밀대걸레					취미는 청소입니다	39700 	7 
집에서 커피한잔	홈카페	인테리어	[돌체구스토] 캡슐 커피머신 조비아(JOVIA)	리비 믹싱컵 아이스 아메리카노잔 473ml	구어메이 시리얼 머그컵 (머그잔 커피잔)	[코스타노바] 노바 그레이 18cm 디저트접시	프랑프랑 style 버터플라이 티스푼 티포크1set 은색			집에서 커피한잔	164700 	5 
오늘은 집에서 브런치	홈카페	요리	H.jin 브이너 스텐레스양식기 3종세트/스푼포크나이프	플렛 브런치 접시	올리비아 원형볼 파스타접시 메인접시 샐러드볼 샐러드접시 시리얼볼 	리비 하이볼쥬스잔 310ml 	루센트 와인잔 2p세트(중)	보아스 토스터기 VO-PT01		오늘은 집에서 브런치	95940 	5 
잠에만 집중하고 싶어	포근하게 자기	수면	브레스 단 스탠드 셀프인테리어 거실 침실 스탠드	이상민 호텔식 프리미엄 기절베딩 토퍼세트+베개세트 SS 회색	쿨링 시어서커 지그재그 그레이 여름차렵이불 + 드리밍 스트라이프 차렵이불					잠에만 집중하고 싶어	255800 	5 
스르륵 잠드는 마법	포근하게 자기	수면	붙이는 암막 블라인드 종이 접착식 셀프 창문 가리개 검은색 	미니 원룸책상 1인용 테이블 컴퓨터책상 세트(책상 + 의자) 검은색 	LED 미니데스크 심플 램프 ? 블랙					스르륵 잠드는 마법	68300 	7 
빨리 빨래하자	입는건 중요해	옷관리	속옷용 세탁망	"일반 세탁망 (중형1, 대형1)"	빨래 건조대	빨래집게	엉키지 않게 세탁볼			빨리 빨래하자	39400 	7 
"옷, 신발도 집이 있다"	입는건 중요해	옷관리	DIY 2단조절 행거	의류정리함 리빙박스 (56L+66L)	늘어남 방지용 플라스틱 옷걸이	DIY 5단 신발 정리대				옷 신발도 집이 있다	58000 	7 
멍멍 강아지를 위해서	반려동물과 함께		"소가죽 목줄(산책용, 검은색)"	"애완용 식기(물, 사료 2구, 스테인레스)"	사료계량컵(플라스틱)	"안전 애견 미용 가위 세트(일자가위 2개, 숱 가위 1개, 커브가위 1개)"	펫트너스 반영구 돌돌이 털청소			멍멍 강아지를 위해서	77000 	7 
야옹 고양이를 위해서	반려동물과 함께		펫트너스 반영구 돌돌이 털청소	"애완용 식기(물, 사료 2구, 스테인레스)"	사료계량컵(플라스틱)	"고양이 발톱깎이 세트(대 1개, 소 1개)"				야옹 고양이를 위해서	48900 	7 
"공구, 구급Box 준비해봤어"	특별기획		자취방 필수품 공구세트(수리의 달인)	투톤 미니구급함 9종 약품						"공구, 구급Box 준비해봤어"	29900 	7 
떠나자 여행가자	특별기획		여행용 복대지갑	여행용 에어목베개	캐리어 세트(캐리어 24인치 + 캐리어 커버)	캐리어 여행용 고급 파우치 7종 세트				떠나자 여행가자	74000 	7 
"첫 자취, 난 아무것도 몰라요"	특별기획	인테리어	"멀티 탭 세트(3구 1개, 4구 1개, 5구 1개 2.5M)"	신뢰의 한일전자 국내생산 헤어드라이기	Y형 빨래 건조대	접이식 3단 분리수거함(봉투는 따로 사셔야 해요)	DIY 2단조절 행거	"1인 식기세트(밥공기, 국공기, 직사각접시, 컵, 수저 1개)"		"첫 자취, 난 아무것도 몰라요"	109700 	5 
