category1	category2	name	content	price	sale_ratio	main_img	content_img							
생수/음료	요리	삼다수	제주 삼다수 2L 1set(12개)	15800 	10 	제주 삼다수 2L 	상품정보 삼다수 2L							
생수/음료	요리	삼다수	제주 삼다수 500ml 1set(40개)	22000 	7 	제주 삼다수 500ml	상품정보 삼다수 500ml							
생수/음료	요리	웅진	"빅토리아 탄산수 레몬, 플레인 500ml 1set(40개)"	18900 	10 	"빅토리아 탄산수 레몬, 플레인"	상품정보 빅토리아 탄산수 레몬 플레인 500ml							
생수/음료	요리	동아 오츠카 	포카리 스웨트 340ml 1set(24개)	15200 	10 	포카리 스웨트 340ml 	상품정보 포카리 스웨트 캔 340ml							
생수/음료	요리	CALA TOCS	오리지널 깔라만시 클렌즈 100ml 1set(30포)	29900 	7 	오리지널 깔라만시 클렌즈 	상품정보 오리지널 깔라만시 클렌즈 100ml							
생수/음료	요리	디악 	콜드브루 더치커피 3종 500ml 1set(3개)	15500 	10 	콜드브루 더치커피 	상품정보 콜드브루 더치커피 3종							
생수/음료	요리	아임얼라이브 	유기농 콤부차 4종 315ml 1set(4병)	15200 	10 	유기농 콤부차 4종 세트	상품정보 유기농 콤부차 4종							
청소용품	청소	리벤스 	사선 컷팅 돌돌이 세트 돌돌이 1개 거치대 1개 테이프 10개 1set(리필 10개)	13450 	10 	사선 컷팅 돌돌이 세트	상품정보 리벤스 사선컷팅 테이프 크리너							
청소용품	청소	3M	막대 걸레 청소 세트 표준형 막대걸레 1개 물걸레청소포 30매 정전기청소포 60매 1set (본체 + 30매?60매)	24620 	7 	막대 걸레 청소 세트	상품정보 막대 걸레 청소세트							
청소용품	청소	홈스타 먼지를부탁해 	먼지 털이 세트 본체 1개 청소포 26개 1set (본체 + 패드 26개)	19800 	10 	먼지 털이 세트	상품정보 홈스타 먼지털이 세트							
청소용품	청소	바스프사 	라이프웨어 청소블럭세트 집게 1개 블록 50개 1box(50개)	9500 	10 	라이프웨어 청소블럭세트	상품정보 라이프웨어 청소블럭세트							
청소용품	청소	기본에	먼지떨이 더스트키퍼 세트 핸디스틱 1개 흡착패드30매 1set (본체 + 패드 30개)	23500 	7 	먼지떨이 더스트키퍼 세트	상품정보 기본에 더스트키퍼 먼지떨이							
청소용품	청소	윈클리니 	"유리창 청소 도구 세트 본체 1개 패드 2p 찍찍이 3개 추락방지 안전집게+끈 1set (본체 + 패드 2개 찍찍이 3개 + 추락방지 안전집게, 끈)"	15900 	10 	유리창 청소 도구 세트	상품정보 윈클리니 유리창 청소 세트							
청소용품	청소	COLOCOLO 	테이프크리너 돌돌이 세트 본체 1개 12m 롤 6개1set (본체 + 롤 6개)	17900 	10 	테이프크리너 돌돌이 세트	상품정보 테이프크리너 돌돌이 세트							
세제/섬유유연제	옷관리	레인보우샵	천연 섬유유연제 1L 	6820 	10 	천연 섬유유연제 1L 1개	상품정보 천연섬유 유연제 구연산							
세제/섬유유연제	옷관리	다우니 	엑스퍼트 실내건조 섬유유연제 1L 	6990 	10 	엑스퍼트 실내건조 섬유유연제 1L 1개	상품정보 다우니 엑스퍼트 실내건조 섬유유연제							
세제/섬유유연제	옷관리	알마카비오	플라워 향 섬유유연제 1L 	10400 	10 	플라워 향 섬유유연제 1L 1개	상품정보 알마카비오 천연 섬유유연제 플라워향							
세제/섬유유연제	옷관리	살림백서 	1+1 천연 액체 세탁세제 2L	11900 	10 	1+1 천연 액체 세탁세제 2L	상품정보 살림백서 액체세제							
세제/섬유유연제	옷관리	비트 	일반세탁기 액체세제 3L 	9400 	10 	일반세탁기 액체세제 3L 1개	상품정보 비트 액체세제 3L							
세제/섬유유연제	옷관리	퍼실	파워젤 드럼용 액상세제 1.5L 	6970 	10 	파워젤 드럼용 액상세제 1.5L 1개	상품정보 퍼실 드럼용 세탁세제 1.5L							
세제/섬유유연제	옷관리	프로닥스 	1장 세탁 종이세제 시트지 15매 	4600 	10 	1장 세탁 종이세제 시트지 15매 1팩	상품정보 프로닥스 시트세제 더블액션 일반용 15매							
주방용품	청소	공백 	매일 쓰는 주방세제 400ml 	7900 	10 	공백 매일 쓰는 주방세제 본품	상품정보 공백 매일쓰는 주방세제							
주방용품	청소	살림백서 	1+1 천연 주방세제 1L 	13900 	10 	살림백서 천연 주방세제 1L 1종 주방세제	상품정보 살림백서 천연주방세제							
주방용품	청소	오늘습관 	1+1 찌든때클리너 180g	17400 	10 	오늘습관 찌든때클리너	상품정보 오늘습관 찌든때클리너							
주방용품	청소	헤이즐 	양면 수세미 세트 총 5개 	5500 	10 	헤이즐 양면 수세미 세트 12P 모노톤	상품정보 헤이즐 양면수세미 세트							
주방용품	청소	[3M] 	철 수세미 세트 35g 3개	5380 	10 	[3M] 철 수세미	상품정보 살림백서 천연주방세제							
주방용품	청소	홈스웰 	1+1 기모고무장갑 중 사이즈	5500 	10 	홈스웰 기모고무장갑	상품정보 홈스웰 기모고무장갑							
주방용품	청소	크린랩 	고무장갑 대 사이즈 총 5개	10200 	10 	크린랩 고무장갑 대	상품정보 크린랩 고무장갑							
욕실용품	수면	닥터방기원 	여성용 볼륨 퍼퓸 탈모케어 3종 샴푸500ml 트리트먼트500ml 에센스120ml 세트	29800 	7 	닥터방기원 여성용	상품정보 닥터방기원 여성용 볼륨 퍼퓸 탈모케어 세트							
욕실용품	수면	아모레퍼시픽 	려 자양윤모 지성 샴푸 400ml 3개	20200 	7 	려 자양윤모 지성 샴푸	상품정보 려 자양윤모 탈모증상케어 샴푸 지성두피용 400ml							
